id_policy,id_client,id_vehicle,id_year,id_claim,claim_nb,claim_amount,pol_bonus,pol_coverage,pol_duration,pol_sit_duration,pol_pay_freq,pol_payd,pol_usage,pol_insee_code,drv_drv2,drv_age1,drv_age2,drv_sex1,drv_sex2,drv_age_lic1,drv_age_lic2,vh_age,vh_cyl,vh_din,vh_fuel,vh_make,vh_model,vh_sale_begin,vh_sale_end,vh_speed,vh_type,vh_value,vh_weight,claim_amount_winsorized
A00040436-V01,A00040436,V01,0,CL01,1,77.86,0.5,4.0,20.0,6.0,Monthly,No,WorkPrivate,95063,No,49,,M,,30.0,0.0,12.0,1390.0,75.0,Gasoline,RENAULT,KANGOO,13.0,12.0,155.0,Tourism,12959.0,1065.0,77.86
A00026708-V01,A00026708,V01,0,CL02,1,3073.88,0.5,4.0,9.0,1.0,Biannual,No,WorkPrivate,77349,Yes,45,20,F,F,26.0,2.0,4.0,1560.0,90.0,Diesel,PEUGEOT,207,4.0,3.0,182.0,Tourism,18150.0,1197.0,3073.88
A00031023-V01,A00031023,V01,0,CL01,1,1236.0,0.5,2.0,2.0,1.0,Monthly,No,Retired,47027,No,66,,M,,43.0,0.0,13.0,1905.0,93.0,Diesel,PEUGEOT,BOXER,17.0,9.0,136.0,Tourism,24392.0,1875.0,1236.0
A00049985-V01,A00049985,V01,0,CL01,1,160.16,0.5,4.0,7.0,3.0,Biannual,No,WorkPrivate,45252,No,55,,F,,35.0,0.0,3.0,1560.0,92.0,Diesel,CITROEN,XSARA,6.0,5.0,183.0,Tourism,20750.0,1320.0,160.16
A00021571-V01,A00021571,V01,0,CL01,1,2458.3,0.5,4.0,3.0,3.0,Monthly,No,WorkPrivate,54395,No,48,,F,,29.0,0.0,10.0,1896.0,131.0,Diesel,AUDI,A3,11.0,8.0,205.0,Tourism,29070.0,1200.0,2458.3
A00065860-V01,A00065860,V01,0,CL01,1,56.19,0.5,4.0,14.0,1.0,Yearly,No,WorkPrivate,37047,Yes,38,39,F,M,19.0,19.0,1.0,999.0,62.0,Gasoline,KIA,PICANTO,3.0,1.0,150.0,Tourism,8240.0,855.0,56.19
A00086586-V01,A00086586,V01,0,CL01,1,88.71,0.5,4.0,13.0,1.0,Monthly,No,WorkPrivate,91376,No,54,,F,,35.0,0.0,6.0,1997.0,136.0,Diesel,PEUGEOT,407,7.0,6.0,208.0,Tourism,25200.0,1580.0,88.71
A00008013-V01,A00008013,V01,0,CL01,1,-774.17,0.5,3.0,5.0,3.0,Biannual,No,Retired,77108,No,69,,M,,46.0,0.0,17.0,1360.0,75.0,Gasoline,PEUGEOT,306,18.0,15.0,165.0,Tourism,13904.0,1020.0,-774.17
A00062006-V01,A00062006,V01,0,CL01,1,1010.41,0.5,2.0,12.0,4.0,Yearly,No,Retired,19121,No,74,,M,,50.0,0.0,17.0,1905.0,70.0,Diesel,CITROEN,XANTIA,18.0,14.0,160.0,Tourism,18142.0,1210.0,1010.41
A00037300-V01,A00037300,V01,0,CL02,1,3402.57,0.53,4.0,6.0,6.0,Quarterly,No,Retired,75107,No,74,,M,,53.0,0.0,7.0,2494.0,192.0,Gasoline,BMW,525 I,8.0,6.0,238.0,Tourism,49500.0,1490.0,3402.57
A00047579-V01,A00047579,V01,0,CL01,1,634.59,0.64,4.0,3.0,3.0,Monthly,No,WorkPrivate,93005,No,31,,M,,10.0,0.0,4.0,1896.0,131.0,Diesel,SEAT,IBIZA,9.0,7.0,207.0,Tourism,18560.0,1218.0,634.59
A00065559-V01,A00065559,V01,0,CL01,1,56.19,0.5,4.0,7.0,2.0,Yearly,No,WorkPrivate,85191,No,57,,M,,38.0,0.0,11.0,1149.0,59.0,Gasoline,RENAULT,CLIO,12.0,11.0,160.0,Tourism,11952.0,890.0,56.19
A00025536-V01,A00025536,V01,0,CL01,1,-602.45,0.5,4.0,1.0,1.0,Monthly,No,WorkPrivate,91525,Yes,54,59,F,M,26.0,41.0,7.0,2179.0,134.0,Diesel,PEUGEOT,607,12.0,7.0,205.0,Tourism,32050.0,1535.0,-602.45
A00012418-V01,A00012418,V01,0,CL02,1,102.91,0.5,4.0,10.0,3.0,Monthly,No,WorkPrivate,85043,No,54,,F,,36.0,0.0,9.0,1998.0,109.0,Diesel,PEUGEOT,406,13.0,8.0,191.0,Tourism,22700.0,1415.0,102.91
A00035395-V01,A00035395,V01,0,CL02,1,104.02,0.5,4.0,9.0,1.0,Yearly,No,WorkPrivate,59462,No,50,,M,,32.0,0.0,15.0,1998.0,161.0,Gasoline,TOYOTA,MR,21.0,17.0,220.0,Tourism,28425.0,1235.0,104.02
A00032635-V01,A00032635,V01,0,CL01,1,-914.93,0.5,4.0,27.0,1.0,Yearly,No,Retired,17094,Yes,77,76,M,F,57.0,56.0,1.0,1399.0,68.0,Diesel,FORD,FUSION,9.0,1.0,158.0,Tourism,14640.0,1102.0,-858.1156
A00073419-V01,A00073419,V01,0,CL01,1,1236.0,0.55,4.0,14.0,9.0,Biannual,No,Retired,06088,Yes,78,75,M,F,58.0,52.0,9.0,1998.0,130.0,Gasoline,MERCEDES BENZ,C180,11.0,9.0,210.0,Tourism,27800.0,1455.0,1236.0
A00036943-V01,A00036943,V01,0,CL01,1,331.18,0.5,4.0,9.0,1.0,Biannual,No,WorkPrivate,17179,Yes,45,44,M,F,27.0,25.0,1.0,1461.0,68.0,Diesel,RENAULT,KANGOO,3.0,1.0,146.0,Commercial,18658.0,1918.0,331.18
A00069906-V01,A00069906,V01,0,CL01,1,5759.12,0.5,4.0,12.0,1.0,Biannual,No,WorkPrivate,59606,Yes,47,21,F,F,27.0,1.0,5.0,973.0,60.0,Gasoline,OPEL,CORSA,8.0,6.0,155.0,Tourism,11190.0,930.0,4181.04
A00090449-V01,A00090449,V01,0,CL01,1,67.7,0.5,4.0,10.0,5.0,Yearly,No,Retired,91552,No,84,,M,,42.0,0.0,10.0,1124.0,60.0,Gasoline,CITROEN,SAXO,11.0,8.0,164.0,Tourism,9300.0,805.0,67.7
A00006955-V01,A00006955,V01,0,CL01,1,111.31,0.5,4.0,8.0,1.0,Biannual,No,Retired,27678,Yes,60,57,M,F,42.0,33.0,8.0,1896.0,131.0,Diesel,AUDI,A4,11.0,7.0,207.0,Tourism,34610.0,1395.0,111.31
A00001318-V01,A00001318,V01,0,CL02,1,2683.76,0.5,4.0,9.0,5.0,Biannual,No,WorkPrivate,31555,No,51,,F,,31.0,0.0,8.0,1108.0,55.0,Gasoline,FIAT,PANDA,8.0,8.0,150.0,Tourism,9100.0,840.0,2683.76
A00058274-V01,A00058274,V01,0,CL01,1,1236.0,0.5,2.0,20.0,1.0,Yearly,No,Retired,78498,Yes,84,48,F,F,53.0,30.0,12.0,1598.0,90.0,Gasoline,RENAULT,CLIO,13.0,11.0,175.0,Tourism,13096.0,990.0,1236.0
A00006975-V01,A00006975,V01,0,CL01,1,0.0,0.5,3.0,3.0,1.0,Quarterly,No,WorkPrivate,06048,No,56,,M,,35.0,0.0,11.0,1998.0,132.0,Gasoline,CITROEN,XANTIA,13.0,12.0,198.0,Tourism,21618.0,1427.0,0.0
A00002265-V01,A00002265,V01,0,CL02,1,0.0,0.5,4.0,16.0,1.0,Monthly,No,WorkPrivate,75119,Yes,49,51,F,F,29.0,16.0,5.0,1587.0,109.0,Gasoline,CITROEN,C3,9.0,3.0,193.0,Tourism,17550.0,1133.0,0.0
A00017160-V01,A00017160,V01,0,CL01,1,0.0,0.5,4.0,8.0,2.0,Biannual,No,WorkPrivate,83061,No,40,,F,,21.0,0.0,4.0,1560.0,109.0,Diesel,CITROEN,C4 PICASSO,5.0,3.0,180.0,Tourism,27200.0,1539.0,0.0
A00049977-V01,A00049977,V01,0,CL01,1,640.08,0.5,4.0,5.0,1.0,Monthly,No,Professional,92035,Yes,62,39,M,M,44.0,21.0,5.0,3192.0,238.0,Gasoline,VOLVO,S80,5.0,1.0,250.0,Tourism,44600.0,1656.0,640.08
A00043647-V01,A00043647,V01,0,CL02,1,1137.09,0.5,4.0,13.0,1.0,Yearly,Yes,Retired,11425,Yes,73,75,M,F,51.0,40.0,1.0,1598.0,112.0,Gasoline,RENAULT,MODUS,3.0,1.0,184.0,Tourism,18850.0,1235.0,1137.09
A00020687-V01,A00020687,V01,0,CL01,1,963.35,0.5,4.0,25.0,1.0,Monthly,No,WorkPrivate,88413,No,60,,F,,35.0,0.0,1.0,1248.0,75.0,Diesel,FIAT,PUNTO,2.0,1.0,165.0,Tourism,14090.0,1090.0,963.35
A00080202-V01,A00080202,V01,0,CL02,1,543.52,0.68,4.0,4.0,4.0,Monthly,No,WorkPrivate,93051,No,53,,M,,32.0,0.0,4.0,1686.0,101.0,Diesel,OPEL,ASTRA,7.0,3.0,181.0,Tourism,20850.0,1365.0,543.52
A00028880-V01,A00028880,V01,0,CL01,1,-410.96,0.76,4.0,4.0,1.0,Yearly,No,WorkPrivate,83137,No,33,,F,,11.0,0.0,1.0,1348.0,75.0,Gasoline,MAZDA,MAZDA2,4.0,3.0,168.0,Tourism,13200.0,955.0,-410.96
A00013461-V01,A00013461,V01,0,CL01,1,1236.0,0.5,4.0,5.0,1.0,Biannual,No,Retired,38363,No,68,,M,,49.0,0.0,1.0,1560.0,109.0,Diesel,PEUGEOT,3008,2.0,1.0,180.0,Tourism,25550.0,1425.0,1236.0
A00039421-V01,A00039421,V01,0,CL02,1,184.81,0.5,4.0,3.0,2.0,Biannual,No,WorkPrivate,78646,Yes,35,40,F,M,16.0,20.0,6.0,2429.0,143.0,Gasoline,CHRYSLER,PT CRUISER,7.0,5.0,195.0,Tourism,23950.0,1435.0,184.81
A00091108-V01,A00091108,V01,0,CL01,1,343.07,0.51,3.0,5.0,5.0,Quarterly,No,WorkPrivate,45282,No,67,,F,,47.0,0.0,14.0,954.0,51.0,Gasoline,CITROEN,AX,19.0,18.0,149.0,Tourism,8004.0,1140.0,343.07
A00032834-V01,A00032834,V01,0,CL01,1,372.23,0.5,4.0,12.0,1.0,Yearly,No,Retired,87085,No,68,,M,,47.0,0.0,1.0,1753.0,116.0,Diesel,FORD,FOCUS,4.0,2.0,193.0,Tourism,22200.0,1341.0,372.23
A00000670-V01,A00000670,V01,0,CL01,1,162.35,0.5,3.0,34.0,4.0,Biannual,No,Retired,70037,No,85,,M,,52.0,0.0,17.0,954.0,45.0,Gasoline,PEUGEOT,106,19.0,17.0,145.0,Tourism,9818.0,85.0,162.35
A00032755-V01,A00032755,V01,0,CL01,1,-577.72,0.56,2.0,1.0,1.0,Monthly,No,WorkPrivate,59560,No,52,,M,,34.0,0.0,25.0,1118.0,55.0,Gasoline,PEUGEOT,309,26.0,22.0,153.0,Tourism,9327.0,1290.0,-577.72
A00037871-V01,A00037871,V01,0,CL01,1,1132.5,0.95,1.0,2.0,1.0,Yearly,No,WorkPrivate,75113,No,48,,F,,29.0,0.0,20.0,1905.0,66.0,Diesel,PEUGEOT,309,25.0,18.0,160.0,Tourism,13919.0,950.0,1132.5
A00007020-V01,A00007020,V01,0,CL01,1,117.5,0.5,4.0,2.0,2.0,Monthly,No,Retired,67462,Yes,64,60,M,F,43.0,39.0,8.0,1896.0,131.0,Diesel,VOLKSWAGEN,PASSAT,11.0,7.0,208.0,Tourism,25500.0,1375.0,117.5
A00086881-V01,A00086881,V01,0,CL02,1,106.14,0.5,4.0,8.0,6.0,Monthly,No,WorkPrivate,55080,Yes,66,61,M,F,48.0,32.0,12.0,1998.0,90.0,Diesel,PEUGEOT,406,12.0,10.0,175.0,Tourism,22106.0,1415.0,106.14
A00065706-V01,A00065706,V01,0,CL01,1,883.52,0.5,4.0,4.0,1.0,Yearly,No,Retired,91657,Yes,78,74,M,F,55.0,43.0,11.0,2148.0,143.0,Diesel,MERCEDES BENZ,C220,11.0,8.0,215.0,Tourism,39130.0,1545.0,883.52
A00000076-V01,A00000076,V01,0,CL01,1,-991.69,0.5,4.0,26.0,3.0,Monthly,No,WorkPrivate,22389,No,81,,F,,54.0,0.0,13.0,1242.0,75.0,Gasoline,FORD,FIESTA,13.0,11.0,170.0,Tourism,10428.0,940.0,-858.1156
A00044251-V01,A00044251,V01,0,CL01,1,0.0,0.5,3.0,17.0,1.0,Monthly,No,WorkPrivate,27103,Yes,47,20,F,M,21.0,2.0,12.0,1149.0,59.0,Gasoline,RENAULT,TWINGO,13.0,11.0,151.0,Tourism,8522.0,823.0,0.0
A00006414-V01,A00006414,V01,0,CL01,1,106.04,0.5,4.0,6.0,6.0,Monthly,No,Professional,48039,No,50,,M,,31.0,0.0,6.0,1997.0,90.0,Diesel,PEUGEOT,PARTNER,9.0,6.0,163.0,Tourism,16850.0,1110.0,106.04
A00032942-V01,A00032942,V01,0,CL01,1,291.61,0.61,4.0,25.0,2.0,Yearly,No,Retired,76540,No,64,,M,,42.0,0.0,6.0,1242.0,60.0,Gasoline,FIAT,PUNTO,8.0,7.0,155.0,Tourism,10400.0,875.0,291.61
A00033652-V01,A00033652,V01,0,CL01,1,1457.87,0.5,4.0,5.0,2.0,Yearly,No,WorkPrivate,12094,Yes,41,41,F,M,23.0,22.0,10.0,1390.0,96.0,Gasoline,RENAULT,CLIO,12.0,11.0,186.0,Tourism,12562.0,980.0,1457.87
A00033418-V01,A00033418,V01,0,CL01,1,106.14,0.62,4.0,2.0,1.0,Biannual,No,WorkPrivate,34311,No,68,,M,,50.0,0.0,6.0,1997.0,136.0,Diesel,PEUGEOT,407,7.0,6.0,208.0,Tourism,25700.0,1580.0,106.14
A00084133-V01,A00084133,V01,0,CL01,1,368.11,0.5,4.0,25.0,1.0,Monthly,Yes,Retired,85060,No,77,,F,,26.0,0.0,9.0,1360.0,74.0,Gasoline,CITROEN,C3,9.0,9.0,162.0,Tourism,12950.0,1095.0,368.11
A00020339-V01,A00020339,V01,0,CL01,1,282.61,0.5,4.0,8.0,6.0,Biannual,No,Retired,73153,No,67,,M,,45.0,0.0,10.0,1390.0,75.0,Gasoline,RENAULT,KANGOO,13.0,12.0,155.0,Tourism,12959.0,1065.0,282.61
A00018840-V01,A00018840,V01,0,CL01,1,94.14,0.57,4.0,2.0,2.0,Yearly,No,Professional,42218,No,42,,M,,23.0,0.0,2.0,1560.0,90.0,Diesel,PEUGEOT,PARTNER,3.0,1.0,160.0,Commercial,19973.0,1354.0,94.14
A00073392-V01,A00073392,V01,0,CL01,1,73.48,0.5,4.0,25.0,2.0,Yearly,No,WorkPrivate,76409,No,57,,M,,36.0,0.0,2.0,1560.0,109.0,Diesel,CITROEN,C5,3.0,1.0,191.0,Tourism,26550.0,1503.0,73.48
A00010314-V01,A00010314,V01,0,CL01,1,-600.85,0.95,3.0,4.0,3.0,Monthly,No,WorkPrivate,44109,No,28,,F,,7.0,0.0,10.0,1686.0,75.0,Diesel,OPEL,ASTRA,12.0,10.0,170.0,Tourism,15695.0,1189.0,-600.85
A00019420-V01,A00019420,V01,0,CL01,1,492.52,0.5,4.0,30.0,4.0,Yearly,No,Retired,03088,No,77,,F,,40.0,0.0,4.0,1149.0,75.0,Gasoline,RENAULT,MODUS,5.0,5.0,163.0,Tourism,15250.0,1120.0,492.52
A00015013-V01,A00015013,V01,0,CL01,1,1236.0,0.95,2.0,1.0,1.0,Monthly,No,WorkPrivate,94068,Yes,35,28,M,F,16.0,2.0,8.0,1598.0,101.0,Gasoline,OPEL,MERIVA,8.0,7.0,175.0,Tourism,13880.0,1300.0,1236.0
A00066246-V01,A00066246,V01,0,CL01,1,241.16,0.5,4.0,2.0,2.0,Quarterly,No,WorkPrivate,59369,No,45,,M,,24.0,0.0,8.0,1461.0,58.0,Diesel,RENAULT,KANGOO,9.0,8.0,137.0,Commercial,13395.0,1120.0,241.16
A00012159-V01,A00012159,V01,0,CL01,1,117.67,0.5,4.0,1.0,1.0,Yearly,No,Retired,53130,Yes,77,74,M,F,58.0,45.0,1.0,1560.0,109.0,Diesel,CITROEN,C4 PICASSO,3.0,1.0,180.0,Tourism,26800.0,1499.0,117.67
A00083540-V02,A00083540,V02,0,CL01,1,909.89,0.64,4.0,5.0,1.0,Biannual,No,WorkPrivate,29197,No,44,,M,,19.0,0.0,8.0,1870.0,81.0,Diesel,RENAULT,KANGOO,8.0,8.0,160.0,Tourism,17600.0,1065.0,909.89
A00008792-V01,A00008792,V01,0,CL01,1,2538.02,0.9,3.0,2.0,1.0,Monthly,No,WorkPrivate,34172,No,24,,F,,5.0,0.0,8.0,1587.0,109.0,Gasoline,PEUGEOT,206,11.0,8.0,197.0,Tourism,16050.0,950.0,2538.02
A00059757-V01,A00059757,V01,0,CL01,1,140.55,0.6,3.0,8.0,2.0,Biannual,No,WorkPrivate,93066,No,45,,M,,17.0,0.0,16.0,1237.0,55.0,Gasoline,RENAULT,TWINGO,18.0,16.0,150.0,Tourism,8614.0,790.0,140.55
A00018173-V01,A00018173,V01,0,CL01,1,1555.81,0.5,4.0,10.0,1.0,Yearly,No,WorkPrivate,26263,Yes,68,54,M,F,45.0,33.0,3.0,1995.0,131.0,Diesel,RENAULT,LAGUNA,4.0,2.0,203.0,Tourism,28250.0,1462.0,1555.81
A00084006-V02,A00084006,V02,0,CL01,1,602.65,0.5,4.0,2.0,2.0,Yearly,No,Professional,59421,Yes,56,58,F,M,37.0,40.0,2.0,1560.0,90.0,Diesel,PEUGEOT,PARTNER,3.0,1.0,161.0,Tourism,19800.0,1407.0,602.65
A00057995-V02,A00057995,V02,0,CL02,1,1236.0,0.5,4.0,9.0,1.0,Biannual,Yes,Retired,69029,Yes,86,84,M,F,57.0,56.0,1.0,1461.0,106.0,Diesel,RENAULT,SCENIC,2.0,1.0,180.0,Tourism,27800.0,1410.0,1236.0
A00038987-V01,A00038987,V01,0,CL01,1,0.0,0.5,4.0,8.0,2.0,Biannual,No,WorkPrivate,34183,No,54,,M,,35.0,0.0,5.0,1896.0,105.0,Diesel,AUDI,A3,8.0,2.0,187.0,Tourism,27010.0,1295.0,0.0
A00049719-V01,A00049719,V01,0,CL01,1,686.84,0.5,4.0,19.0,3.0,Biannual,No,WorkPrivate,27612,Yes,67,68,M,F,49.0,41.0,8.0,1997.0,90.0,Diesel,PEUGEOT,307,9.0,6.0,174.0,Tourism,20800.0,1243.0,686.84
A00087086-V02,A00087086,V02,0,CL01,1,129.15,0.5,4.0,16.0,1.0,Biannual,No,Retired,06004,No,67,,M,,43.0,0.0,1.0,1598.0,105.0,Diesel,RENAULT,GOLF,2.0,1.0,189.0,Tourism,23990.0,1243.0,129.15
A00012666-V01,A00012666,V01,0,CL01,1,1578.39,0.5,4.0,2.0,2.0,Yearly,No,WorkPrivate,88424,No,39,,M,,20.0,0.0,2.0,1149.0,101.0,Gasoline,RENAULT,CLIO,2.0,1.0,183.0,Tourism,17550.0,1100.0,1578.39
A00080505-V01,A00080505,V01,0,CL02,1,-65.5,0.5,4.0,1.0,1.0,Biannual,Yes,WorkPrivate,77350,No,38,,F,,20.0,0.0,4.0,1242.0,70.0,Gasoline,FIAT,500,4.0,1.0,160.0,Commercial,13090.0,865.0,-65.5
A00055007-V01,A00055007,V01,0,CL01,1,391.78,0.5,4.0,9.0,2.0,Biannual,No,WorkPrivate,91114,No,65,,F,,41.0,0.0,2.0,1149.0,75.0,Gasoline,RENAULT,MODUS,7.0,6.0,163.0,Tourism,12900.0,1120.0,391.78
A00076923-V01,A00076923,V01,0,CL01,1,1236.0,0.58,4.0,14.0,2.0,Yearly,No,WorkPrivate,17474,No,41,,F,,21.0,0.0,2.0,1461.0,106.0,Diesel,RENAULT,SCENIC,6.0,5.0,178.0,Tourism,23350.0,1465.0,1236.0
A00053406-V01,A00053406,V01,0,CL01,1,613.13,0.9,4.0,2.0,1.0,Quarterly,No,WorkPrivate,92012,No,37,,M,,18.0,0.0,1.0,1560.0,90.0,Diesel,PEUGEOT,207,5.0,4.0,182.0,Tourism,15150.0,1282.0,613.13
A00057564-V01,A00057564,V01,0,CL01,1,2683.76,0.5,4.0,34.0,4.0,Monthly,No,Retired,42208,Yes,74,72,M,F,51.0,33.0,12.0,1598.0,90.0,Gasoline,RENAULT,MEGANE,13.0,12.0,184.0,Tourism,15306.0,1055.0,2683.76
A00040329-V02,A00040329,V02,0,CL01,1,632.58,0.62,4.0,2.0,2.0,Quarterly,No,WorkPrivate,24520,No,60,,M,,42.0,0.0,4.0,1870.0,111.0,Diesel,RENAULT,LAGUNA,6.0,5.0,194.0,Tourism,25200.0,1350.0,632.58
A00081401-V01,A00081401,V01,0,CL01,1,339.36,0.5,4.0,11.0,2.0,Yearly,No,WorkPrivate,78208,Yes,46,47,M,F,28.0,27.0,2.0,1560.0,90.0,Diesel,PEUGEOT,207,5.0,2.0,182.0,Tourism,18750.0,1205.0,339.36
A00059533-V01,A00059533,V01,0,CL01,1,356.88,0.51,4.0,5.0,1.0,Monthly,No,WorkPrivate,71076,No,31,,M,,13.0,0.0,4.0,1896.0,105.0,Diesel,RENAULT,GOLF,8.0,4.0,187.0,Tourism,21370.0,1251.0,356.88
A00018654-V01,A00018654,V01,0,CL01,1,126.97,0.68,4.0,2.0,1.0,Monthly,No,WorkPrivate,83068,No,43,,F,,23.0,0.0,6.0,2034.0,193.0,Gasoline,MERCEDES BENZ,B200,6.0,4.0,218.0,Tourism,32000.0,1435.0,126.97
A00053416-V01,A00053416,V01,0,CL01,1,620.09,0.5,4.0,1.0,1.0,Monthly,No,WorkPrivate,61342,Yes,46,46,M,F,27.0,28.0,1.0,1461.0,106.0,Diesel,NISSAN,QASHQAI,1.0,1.0,174.0,Tourism,26550.0,1420.0,620.09
A00029893-V01,A00029893,V01,0,CL01,1,-192.99,0.5,4.0,3.0,3.0,Biannual,No,WorkPrivate,30169,Yes,48,48,F,M,25.0,29.0,4.0,1560.0,109.0,Diesel,PEUGEOT,307,7.0,6.0,192.0,Tourism,22150.0,1512.0,-192.99
A00034271-V01,A00034271,V01,0,CL01,1,1055.17,0.5,3.0,1.0,1.0,Yearly,No,Retired,54526,No,71,,M,,53.0,0.0,14.0,2435.0,165.0,Gasoline,RENAULT,SAFRANE,15.0,13.0,220.0,Tourism,35674.0,1495.0,1055.17
A00080083-V01,A00080083,V01,0,CL01,1,645.34,0.5,4.0,1.0,1.0,Biannual,No,WorkPrivate,88173,Yes,53,53,M,F,35.0,33.0,1.0,1560.0,109.0,Diesel,PEUGEOT,3008,2.0,1.0,180.0,Tourism,24750.0,1425.0,645.34
A00083624-V01,A00083624,V01,0,CL01,1,-596.49,0.5,4.0,27.0,4.0,Biannual,No,Retired,45274,No,64,,M,,46.0,0.0,4.0,1598.0,120.0,Gasoline,PEUGEOT,207,4.0,1.0,195.0,Tourism,19600.0,1260.0,-596.49
A00072026-V01,A00072026,V01,0,CL01,1,1236.0,0.78,4.0,29.0,9.0,Biannual,No,Professional,94016,No,87,,M,,63.0,0.0,9.0,2736.0,203.0,Gasoline,CHRYSLER,SEBRING,10.0,7.0,210.0,Tourism,36370.0,1590.0,1236.0
A00048426-V01,A00048426,V01,0,CL02,1,3846.95,0.5,4.0,23.0,2.0,Monthly,No,WorkPrivate,02756,No,49,,F,,29.0,0.0,3.0,1560.0,109.0,Diesel,CITROEN,C4 PICASSO,3.0,1.0,180.0,Tourism,28650.0,1489.0,3846.95
A00037529-V01,A00037529,V01,0,CL02,1,1294.29,0.58,4.0,5.0,3.0,Biannual,No,Retired,78202,Yes,81,73,M,F,56.0,41.0,3.0,1399.0,68.0,Diesel,FORD,FIESTA,3.0,1.0,162.0,Tourism,15630.0,1011.0,1294.29
A00032684-V01,A00032684,V01,0,CL01,1,-505.88,0.5,3.0,8.0,1.0,Monthly,No,WorkPrivate,37237,Yes,47,18,F,M,28.0,0.0,13.0,1998.0,147.0,Gasoline,LANCIA,ZETA,16.0,13.0,195.0,Tourism,32000.0,1575.0,-505.88
A00066750-V01,A00066750,V01,0,CL01,1,1426.33,0.5,4.0,3.0,2.0,Monthly,No,WorkPrivate,79318,Yes,46,41,M,F,26.0,22.0,4.0,1560.0,109.0,Diesel,PEUGEOT,307,7.0,6.0,192.0,Tourism,20850.0,1512.0,1426.33
